verdict,kind,observation_id,canonical_account_id,fiscal_year,stage,amount_type,source_document_id,source_page,evidence
VALUE,$0 supplemental observation,OBS-0680,ACC-NASA-CONSTRUCTION,2018,Enacted,supplemental,SRC-CRPT-115HRPT704,128-129,"81,300 -- Construction and Environmental Compliance and Restoration (emergency), Other Appropriations: Further Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2018 (P.L. 115-123), p.134; also S.Rept. 115-275 p.161"
VALUE,$0 supplemental observation,OBS-0664,ACC-NASA-CONSTRUCTION,2022,Enacted,supplemental,SRC-CRPT-117HRPT395,219-220,"321,400 -- Construction and Environmental Compliance and Restoration (emergency), Other Appropriations: Extending Government Funding and Delivering Emergency Assistance Act, 2022 (P.L. 117-43), Division B, p.224"
VALUE,$0 supplemental observation,OBS-0660,ACC-NASA-CONSTRUCTION,2023,Enacted,supplemental,SRC-CRPT-118SRPT62,219-220,"556,400 -- Construction and Environmental Compliance and Restoration (emergency), Other Appropriations: Disaster Relief Supplemental Appropriations Act, 2023 (P.L. 117-328), p.224"
VALUE,missing rescission cell,,ACC-NASA-SPACEOPS,2025,Senate Reported,rescission,SRC-CRPT-118SRPT198,227-228,"-1,000 -- Space Operations (rescission), Title V General Provisions, p.229, Committee recommendation column (not the Title III line on p.227, which carries only the Budget estimate)"
VALUE,$0 supplemental observation,OBS-0860,ACC-NSF-MREFC,2022,Enacted,supplemental,SRC-CRPT-117HRPT395,219-220,"25,000 -- Major Research Equipment and Facilities Construction (emergency), P.L. 117-43 Division B, p.224"
VALUE,$0 supplemental observation,OBS-0796,ACC-NSF-RRA,2018,Enacted,supplemental,SRC-CRPT-115HRPT704,128-129,"16,300 -- Research and Related Activities (emergency), P.L. 115-123 section, p.134; also S.Rept. 115-275 p.161"
VALUE,$0 supplemental observation,OBS-0788,ACC-NSF-RRA,2020,Enacted,supplemental,SRC-CRPT-116HRPT455,187-188,"75,000 -- Research and Related Activities (emergency), Other Appropriations: Emergency Appropriations for Coronavirus Health Response (CARES Act), p.196"
VALUE,$0 supplemental observation,OBS-0776,ACC-NSF-RRA,2023,Enacted,supplemental,SRC-CRPT-118SRPT62,219-220,"820,662 -- Research and Related Activities (emergency), P.L. 117-328 section, p.224"
UNRESOLVED,$0 supplemental observation,OBS-0684,ACC-NASA-CONSTRUCTION,2017,Enacted,supplemental,SRC-CRPT-115HRPT231,120-121,"p.124 prints 'NASA Emergency Repairs (emergency) 109,000' in the FY 2017 Enacted column without naming an account; which account it funded needs the enacted bill text"
UNRESOLVED,$0 supplemental observation,OBS-0604,ACC-NASA-EXPLORATION,2017,Enacted,supplemental,SRC-CRPT-115HRPT231,120-121,"p.124 prints 'NASA Emergency Repairs (emergency) 109,000' in the FY 2017 Enacted column without naming an account; which account it funded needs the enacted bill text"
UNRESOLVED,missing rescission cell,,ACC-NASA-SPACEOPS,2019,President's Budget,rescission,SRC-CRPT-115HRPT704,128-129,"p.132 (Title V) prints 'NASA closeouts (rescission) -4,000' in the FY 2019 Request column without naming an account"
UNRESOLVED,missing rescission cell,,ACC-NASA-SPACEOPS,2019,Senate Reported,rescission,SRC-CRPT-115SRPT275,157-158,"p.159 prints 'NASA closeouts (rescission) -4,000' in the Committee recommendation column without naming an account"
UNRESOLVED,missing rescission cell,,ACC-NASA-SPACEOPS,2019,Enacted,rescission,SRC-CRPT-116HRPT101,148-149,"p.152 (Title V) prints 'NASA closeouts (rescission) -3,000' in the FY 2019 Enacted column without naming an account"
DASH,$0 supplemental observation,OBS-0654,ACC-NASA-CONSTRUCTION,2025,House Reported,supplemental,SRC-CRPT-118HRPT582,247-248,"Construction and environmental compliance and restoration (emergency), p.247: Bill '---'"
DASH,$0 supplemental observation,OBS-0651,ACC-NASA-CONSTRUCTION,2026,President's Budget,supplemental,SRC-EXPL-FY2026-PB,128-130,"Construction and environmental compliance and restoration (emergency), p.128: FY 2026 Request '---'"
DASH,$0 supplemental observation,OBS-0650,ACC-NASA-CONSTRUCTION,2026,House Reported,supplemental,SRC-CRPT-119HRPT272,256-257,"Construction and environmental compliance and restoration (emergency), p.256: Bill '---'"
DASH,$0 supplemental observation,OBS-0648,ACC-NASA-CONSTRUCTION,2026,Enacted,supplemental,SRC-EXPL-FY2026-PB,128-130,"Construction and environmental compliance and restoration (emergency), p.128: Final Bill '---'"
DASH,$0 supplemental observation,OBS-0575,ACC-NASA-EXPLORATION,2025,President's Budget,supplemental,SRC-CRPT-118HRPT582,247-248,"Deep Space Exploration Systems (emergency), p.247: FY 2025 Request '---'"
DASH,$0 supplemental observation,OBS-0574,ACC-NASA-EXPLORATION,2025,House Reported,supplemental,SRC-CRPT-118HRPT582,247-248,"Deep Space Exploration Systems (emergency), p.247: Bill '---'"
