confirmed_absence_id,canonical_account_id,fiscal_year,stage,amount_type,component,source_document_id,evidence,confirmed_date,replaces_observation_id
CA-0001,ACC-NASA-CONSTRUCTION,2017,President's Budget,supplemental,,SRC-CRPT-114HRPT605,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0687
CA-0002,ACC-NASA-CONSTRUCTION,2017,House Reported,supplemental,,SRC-CRPT-114HRPT605,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0686
CA-0003,ACC-NASA-CONSTRUCTION,2017,Senate Reported,supplemental,,SRC-CRPT-114SRPT239,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer",2026-09-25,OBS-0685
CA-0004,ACC-NASA-CONSTRUCTION,2018,President's Budget,supplemental,,SRC-CRPT-115HRPT231,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0683
CA-0005,ACC-NASA-CONSTRUCTION,2018,House Reported,supplemental,,SRC-CRPT-115HRPT231,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0682
CA-0006,ACC-NASA-CONSTRUCTION,2018,Senate Reported,supplemental,,SRC-CRPT-115SRPT139,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer",2026-09-25,OBS-0681
CA-0007,ACC-NASA-CONSTRUCTION,2019,President's Budget,supplemental,,SRC-CRPT-115HRPT704,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 President's Budget; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0679
CA-0008,ACC-NASA-CONSTRUCTION,2019,House Reported,supplemental,,SRC-CRPT-115HRPT704,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 House Reported; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0678
CA-0009,ACC-NASA-CONSTRUCTION,2019,Senate Reported,supplemental,,SRC-CRPT-115SRPT275,"the only Construction and Environmental Compliance and Restoration (emergency) line (p.161, P.L. 115-123 section) prints a figure in the 2018 appropriation column only; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.152-161)",2026-09-25,OBS-0677
CA-0010,ACC-NASA-CONSTRUCTION,2019,Enacted,supplemental,,SRC-CRPT-116HRPT101,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Enacted; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0676
