confirmed_absence_id,canonical_account_id,fiscal_year,stage,amount_type,component,source_document_id,evidence,confirmed_date,replaces_observation_id
CA-0134,ACC-NASA-CONSTRUCTION,2025,House Reported,supplemental,,SRC-CRPT-118HRPT582,"Construction and environmental compliance and restoration (emergency), p.247: Bill '---' -- '---' here means no amount: the bill it reports, H.R. 9026 as reported (govinfo BILLS-118hr9026rh), designates no amount anywhere as an emergency requirement. No other Construction and Environmental Compliance and Restoration (emergency) line in the table",2026-09-25,OBS-0654
CA-0135,ACC-NASA-CONSTRUCTION,2026,President's Budget,supplemental,,SRC-EXPL-FY2026-PB,"Construction and environmental compliance and restoration (emergency), p.128: FY 2026 Request '---' -- '---' here means no amount: the FY2026 Budget Appendix (govinfo BUDGET-2026-APP) requests no emergency amount for NASA or NSF (the only emergency-requirement text in the NASA chapter, p.1007, is bracketed prior-year P.L. 118-158 language proposed for deletion). No other Construction and Environmental Compliance and Restoration (emergency) line in the table",2026-09-25,OBS-0651
CA-0136,ACC-NASA-CONSTRUCTION,2026,House Reported,supplemental,,SRC-CRPT-119HRPT272,"Construction and environmental compliance and restoration (emergency), p.256: Bill '---' -- '---' here means no amount: the bill it reports, H.R. 5342 as reported (govinfo BILLS-119hr5342rh), designates no amount anywhere as an emergency requirement. No other Construction and Environmental Compliance and Restoration (emergency) line in the table",2026-09-25,OBS-0650
CA-0137,ACC-NASA-CONSTRUCTION,2026,Enacted,supplemental,,SRC-EXPL-FY2026-PB,"Construction and environmental compliance and restoration (emergency), p.128: Final Bill '---' -- '---' here means no amount: P.L. 119-74 (govinfo PLAW-119publ74) appropriates no emergency-designated amount for this account (its one emergency-requirement reference, 140 Stat. 60, is a general provision excluding prior-year emergency amounts). No other Construction and Environmental Compliance and Restoration (emergency) line in the table",2026-09-25,OBS-0648
CA-0138,ACC-NASA-EXPLORATION,2025,President's Budget,supplemental,,SRC-CRPT-118HRPT582,"Deep Space Exploration Systems (emergency), p.247: FY 2025 Request '---' -- '---' here means no amount: the FY2025 Budget Appendix (govinfo BUDGET-2025-APP) requests emergency amounts for NASA and NSF only under Construction and Environmental Compliance and Restoration ($296,000,000, p.1083) and Research and Related Activities ($420,000,000, p.1089); S.Rept. 118-198's Budget estimate column (p.227-228) is blank for this line too. No other Exploration (emergency) line in the table",2026-09-25,OBS-0575
CA-0139,ACC-NASA-EXPLORATION,2025,House Reported,supplemental,,SRC-CRPT-118HRPT582,"Deep Space Exploration Systems (emergency), p.247: Bill '---' -- '---' here means no amount: the bill it reports, H.R. 9026 as reported (govinfo BILLS-118hr9026rh), designates no amount anywhere as an emergency requirement. No other Exploration (emergency) line in the table",2026-09-25,OBS-0574
CA-0140,ACC-NASA-EXPLORATION,2026,President's Budget,supplemental,,SRC-EXPL-FY2026-PB,"Exploration (emergency), p.128: FY 2026 Request '---' -- '---' here means no amount: the FY2026 Budget Appendix (govinfo BUDGET-2026-APP) requests no emergency amount for NASA or NSF (the only emergency-requirement text in the NASA chapter, p.1007, is bracketed prior-year P.L. 118-158 language proposed for deletion). No other Exploration (emergency) line in the table",2026-09-25,OBS-0571
CA-0141,ACC-NASA-EXPLORATION,2026,House Reported,supplemental,,SRC-CRPT-119HRPT272,"Deep Space Exploration Systems (emergency), p.256: Bill '---' -- '---' here means no amount: the bill it reports, H.R. 5342 as reported (govinfo BILLS-119hr5342rh), designates no amount anywhere as an emergency requirement. No other Exploration (emergency) line in the table",2026-09-25,OBS-0570
CA-0142,ACC-NASA-EXPLORATION,2026,Enacted,supplemental,,SRC-EXPL-FY2026-PB,"Exploration (emergency), p.128: Final Bill '---' -- '---' here means no amount: P.L. 119-74 (govinfo PLAW-119publ74) appropriates no emergency-designated amount for this account (its one emergency-requirement reference, 140 Stat. 60, is a general provision excluding prior-year emergency amounts). No other Exploration (emergency) line in the table",2026-09-25,OBS-0568
CA-0143,ACC-NASA-SPACEOPS,2024,Enacted,rescission,,SRC-CRPT-118HRPT582,"Space Operations rescission line, p.247: FY 2024 Enacted '---' -- '---' here means no amount: P.L. 118-42 (govinfo PLAW-118publ42, the FY2024 enacted appropriations) contains no rescission of NASA funds (93 rescission clauses searched, none naming NASA or Space Operations). No other Space Operations rescission line in the table",2026-09-25,
